BFS_NR,GEBIET_NAME,date,population,Name,bfs,wikidata_id,check,bool
21,Adlikon,2018-12-31,707.0,Adlikon,21.0,Q68356,2018-12-31---21,True
131,Adliswil,2018-12-31,18681.0,Adliswil,131.0,Q68210,2018-12-31---131,True
241,Aesch ZH,2018-12-31,1555.0,Aesch (ZH),241.0,Q68342,2018-12-31---241,True
1,Aeugst a.A.,2018-12-31,1979.0,Aeugst am Albis,1.0,Q64945,2018-12-31---1,True
2,Affoltern a.A.,2018-12-31,12201.0,Affoltern am Albis,2.0,Q68290,2018-12-31---2,True
211,Altikon,2018-12-31,705.0,Altikon,211.0,Q65929,2018-12-31---211,True
30,Andelfingen,2018-12-31,2207.0,Andelfingen,30.0,Q68423,2018-12-31---30,True
51,Bachenbülach,2018-12-31,4159.0,Bachenbülach,51.0,Q69887,2018-12-31---51,True
81,Bachs,2018-12-31,580.0,Bachs,81.0,Q70273,2018-12-31---81,True
111,Bäretswil,2018-12-31,5009.0,Bäretswil,111.0,Q65868,2018-12-31---111,True
52,Bassersdorf,2018-12-31,11668.0,Bassersdorf,52.0,Q69734,2018-12-31---52,True
297,Bauma,2018-12-31,4961.0,Bauma,297.0,Q67145,2018-12-31---297,True
22,Benken,2018-12-31,855.0,Benken (ZH),22.0,Q70171,2018-12-31---22,True
23,Berg a.I.,2018-12-31,569.0,Berg am Irchel,23.0,Q65781,2018-12-31---23,True
242,Birmensdorf,2018-12-31,6497.0,Birmensdorf (ZH),242.0,Q65282,2018-12-31---242,True
3,Bonstetten,2018-12-31,5539.0,Bonstetten,3.0,Q65510,2018-12-31---3,True
82,Boppelsen,2018-12-31,1372.0,Boppelsen,82.0,Q67062,2018-12-31---82,True
213,Brütten,2018-12-31,2009.0,Brütten,213.0,Q65812,2018-12-31---213,True
112,Bubikon,2018-12-31,7335.0,Bubikon,112.0,Q67068,2018-12-31---112,True
24,Buch a.I.,2018-12-31,977.0,Buch am Irchel,24.0,Q68451,2018-12-31---24,True
83,Buchs,2018-12-31,6390.0,Buchs (ZH),83.0,Q67539,2018-12-31---83,True
53,Bülach,2018-12-31,20386.0,Bülach,53.0,Q9093,2018-12-31---53,True
25,Dachsen,2018-12-31,1916.0,Dachsen,25.0,Q67949,2018-12-31---25,True
214,Dägerlen,2018-12-31,1016.0,Dägerlen,214.0,Q68437,2018-12-31---214,True
84,Dällikon,2018-12-31,4134.0,Dällikon,84.0,Q66755,2018-12-31---84,True
85,Dänikon,2018-12-31,1873.0,Dänikon,85.0,Q70131,2018-12-31---85,True
215,Dättlikon,2018-12-31,790.0,Dättlikon,215.0,Q70381,2018-12-31---215,True
86,Dielsdorf,2018-12-31,5988.0,Dielsdorf,86.0,Q67951,2018-12-31---86,True
243,Dietikon,2018-12-31,27146.0,Dietikon,243.0,Q64070,2018-12-31---243,True
54,Dietlikon,2018-12-31,7768.0,Dietlikon,54.0,Q65164,2018-12-31---54,True
216,Dinhard,2018-12-31,1654.0,Dinhard,216.0,Q65795,2018-12-31---216,True
26,Dorf,2018-12-31,658.0,Dorf,26.0,Q70283,2018-12-31---26,True
